,movie_id,title,last_update,release_year,rating,duration,description,ott_id
55,56,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,20210907,2018,R,97,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",4
56,57,Untold: Breaking Point,20210907,2021,R,80,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",4
57,58,Shadow Parties,20210906,2020,R,117,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,4
58,59,Angamaly Diaries,20210905,2017,PG-13,128,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",4
59,60,A Champion Heart,20210904,2018,G,90,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",4
60,61,Worth,20210903,2021,PG-13,119,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",4
61,62,Afterlife of the Party,20210902,2021,PG,110,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,4
62,63,Anjaam,20210902,1994,PG-13,143,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",4
63,64,Bright Star,20210902,2009,PG,119,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,4
64,65,Dhanak,20210902,2015,PG,114,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,4
65,66,Final Account,20210902,2021,PG-13,94,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,4
66,67,Gurgaon,20210902,2017,PG-13,106,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",4
67,68,Here and There,20210902,2020,R,99,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",4
68,69,In the Cut,20210902,2003,R,118,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",4
69,70,Shikara,20210902,2020,PG-13,115,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,4
70,71,A Cinderella Story,20210901,2004,PG,95,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,4
71,72,Agatha Christie's Crooked House,20210901,2017,PG-13,115,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",4
